session_id,timestamp,user_id,product_id,event_type,offered_discount,purchase_id,name,city,street,product_name,category_path,price,purchase_timestamp,delivery_timestamp,delivery_company,hours,purchase_year,purchase_month,purchase_day,purchase_hour,purchase_minute,purchase_second,purchase_dayofweek,purchase_month_sin,purchase_month_cos,purchase_day_sin,purchase_day_cos,purchase_hour_sin,purchase_hour_cos,purchase_minute_sin,purchase_minute_cos,purchase_second_sin,purchase_second_cos,purchase_dayofweek_sin,purchase_dayofweek_cos,delivery_company_360,delivery_company_516,delivery_company_620,city_Gdynia,city_Konin,city_Kutno,city_Mielec,city_Police,city_Radom,city_Szczecin,city_Warszawa,category_gry i konsole,category_komputery,category_sprzęt rtv,category_telefony i akcesoria
106285.0,2021-01-06 02:12:34.000000,222.0,1288,BUY_PRODUCT,0.0,24387.0,Kornelia Dumała,Gdynia,al. Sikorskiego 39/80,Philips SDV5100,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV,-0.45744464782929295,2021-01-06 02:12:34.000000,2021-01-08 08:43:46.458734,360.0,54.52012742611112,2021,1,6,2,12,34,2,0.49999999999999994,0.8660254037844387,0.9377521321470804,0.3473052528448203,0.49999999999999994,0.8660254037844387,0.9510565162951535,0.30901699437494745,-0.4067366430758002,-0.9135454576426009,0.9749279121818236,-0.22252093395631434,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
108722.0,2021-03-02 19:54:49.000000,267.0,1006,BUY_PRODUCT,0.0,26133.0,Anita Pabiś,Mielec,ul. Pogodna 57/55,Call of Duty 4 Modern Warfare (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360,-0.5048333705644095,2021-03-02 19:54:49.000000,2021-03-06 08:58:38.081941,516.0,85.0636338725,2021,3,2,19,54,49,1,1.0,6.123233995736766e-17,0.39435585511331855,0.9189578116202306,-0.9659258262890684,0.2588190451025203,-0.5877852522924734,0.8090169943749473,-0.9135454576426011,0.40673664307579976,0.7818314824680298,0.6234898018587336,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
110502.0,2021-03-23 02:23:37.000000,300.0,1278,BUY_PRODUCT,0.0,27401.0,Gustaw Cofała,Gdynia,ulica Krakowska 847,Intenso Music Walker 8GB,Sprzęt RTV;Przenośne audio i video;Odtwarzacze mp3 i mp4,-0.4895984174008357,2021-03-23 02:23:37.000000,2021-03-24 15:21:03.108811,516.0,36.957252447500004,2021,3,23,2,23,37,1,1.0,6.123233995736766e-17,-0.9987165071710528,-0.05064916883871355,0.49999999999999994,0.8660254037844387,0.6691306063588583,-0.7431448254773941,-0.6691306063588582,-0.7431448254773942,0.7818314824680298,0.6234898018587336,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
105515.0,2021-03-31 15:07:03.000000,206.0,1030,BUY_PRODUCT,15.0,23847.0,Klara Kotala,Szczecin,ul. Dąbrowskiej 57,LCD Iiyama B2280WSD,Komputery;Monitory;Monitory LCD,0.03969592908732708,2021-03-31 15:07:03.000000,2021-04-01 08:47:39.945364,360.0,17.67692926777778,2021,3,31,15,7,3,2,1.0,6.123233995736766e-17,-2.4492935982947064e-16,1.0,-0.7071067811865471,-0.7071067811865479,0.6691306063588582,0.7431448254773942,0.3090169943749474,0.9510565162951535,0.9749279121818236,-0.22252093395631434,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
100178.0,2021-02-03 23:37:12.000000,105.0,1281,BUY_PRODUCT,15.0,20126.0,Anastazja Oszust,Szczecin,ul. Częstochowska 80,Manta MM266,Sprzęt RTV;Przenośne audio i video;Odtwarzacze mp3 i mp4,-0.5009043563274879,2021-02-03 23:37:12.000000,2021-02-04 15:26:53.987334,620.0,15.828329815000002,2021,2,3,23,37,12,2,0.8660254037844386,0.5000000000000001,0.5712682150947923,0.8207634412072763,-0.25881904510252157,0.9659258262890681,-0.6691306063588582,-0.7431448254773942,0.9510565162951535,0.30901699437494745,0.9749279121818236,-0.22252093395631434,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
108835.0,2021-03-10 18:18:18.000000,268.0,1035,BUY_PRODUCT,0.0,26211.0,Roksana Garncarek,Radom,aleja Wiatraczna 91/17,Samsung Galaxy S III GT-i9300,Telefony i akcesoria;Telefony komórkowe,1.2111034594381178,2021-03-10 18:18:18.000000,2021-03-12 17:50:31.463597,620.0,47.537073221388894,2021,3,10,18,18,18,2,1.0,6.123233995736766e-17,0.8978045395707416,-0.4403941515576344,-1.0,-1.8369701987210297e-16,0.9510565162951536,-0.30901699437494734,0.9510565162951536,-0.30901699437494734,0.9749279121818236,-0.22252093395631434,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
109922.0,2021-03-09 00:51:56.000000,289.0,1030,BUY_PRODUCT,0.0,27003.0,Michał Penkala,Warszawa,pl. Perłowa 922,LCD Iiyama B2280WSD,Komputery;Monitory;Monitory LCD,0.03969592908732708,2021-03-09 00:51:56.000000,2021-03-10 17:20:32.656034,620.0,40.47684889833334,2021,3,9,0,51,56,1,1.0,6.123233995736766e-17,0.9680771188662043,-0.2506525322587204,0.0,1.0,-0.8090169943749476,0.5877852522924729,-0.40673664307580015,0.913545457642601,0.7818314824680298,0.6234898018587336,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
107001.0,2021-02-06 19:37:33.000000,235.0,1283,BUY_PRODUCT,0.0,24902.0,Anna Maria Dubik,Police,pl. Miła 45/53,Okulary 3D PHILIPS PTA436/00,Sprzęt RTV;Video;Telewizory i akcesoria;Okulary 3D,-0.4726876193892687,2021-02-06 19:37:33.000000,2021-02-08 17:19:53.535873,516.0,45.70570440916667,2021,2,6,19,37,33,5,0.8660254037844386,0.5000000000000001,0.9377521321470804,0.3473052528448203,-0.9659258262890684,0.2588190451025203,-0.6691306063588582,-0.7431448254773942,-0.3090169943749473,-0.9510565162951536,-0.9749279121818236,-0.2225209339563146,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
100516.0,2021-01-02 08:56:13.000000,112.0,1318,BUY_PRODUCT,0.0,20364.0,Lidia Makurat,Police,ulica Matejki 81,Plantronics Savi W710,Sprzęt RTV;Audio;Słuchawki,-0.10944624398765894,2021-01-02 08:56:13.000000,2021-01-04 08:12:30.177304,516.0,47.27143814,2021,1,2,8,56,13,5,0.49999999999999994,0.8660254037844387,0.39435585511331855,0.9189578116202306,0.8660254037844387,-0.4999999999999998,-0.40673664307580015,0.913545457642601,0.9781476007338057,0.20791169081775923,-0.9749279121818236,-0.2225209339563146,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
103007.0,2021-04-21 05:25:37.000000,160.0,1049,BUY_PRODUCT,20.0,22132.0,Angelika Stoltman,Police,al. Zakole 90/67,Max Payne 3 (PC),Gry i konsole;Gry komputerowe,-0.5385106354523096,2021-04-21 05:25:37.000000,2021-04-22 11:46:40.351083,516.0,30.35093085638889,2021,4,21,5,25,37,2,0.8660254037844387,-0.4999999999999998,-0.8978045395707417,-0.44039415155763423,0.9659258262890683,0.25881904510252074,0.49999999999999994,-0.8660254037844387,-0.6691306063588582,-0.7431448254773942,0.9749279121818236,-0.22252093395631434,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
